"2021/05/02 7:56:48 PM OEZ","Dienstag","2021-11-23","St. Gallen","Geschlossene Gesellschaft","..","I got Rhythm ","00:00","Susanne John"
"2021/05/02 7:57:28 PM OEZ","Donnerstag","2021-12-09","Basel","Geschlossene Gesellschaft","..","..","00:00","Susanne John"
"2021/05/02 7:58:32 PM OEZ","Sonntag","2022-01-30","Kappel am Albis","Kloster Kappel","https://www.google.com/maps/place/Kloster+Kappel,+Seminarhotel+und+Bildungshaus/@47.2270927,8.5228099,17z/data=!3m1!4b1!4m8!3m7!1s0x479aa994fa5ba6bf:0xb1597e4fefe06537!5m2!4m1!1i2!8m2!3d47.2270927!4d8.5249986","..","17:15","Susanne John"
"2021/06/30 10:08:29 AM OEZ","Donnerstag","2021-10-07","Interlaken","Hotel Artos","https://www.google.com/maps/place/Zentrum+Artos+Interlaken/@46.6855057,7.8640633,17z/data=!3m1!4b1!4m8!3m7!1s0x478fa362185e0031:0x562c2544e8795e50!5m2!4m1!1i2!8m2!3d46.6854029!4d7.8662898","I got Rhythm","20:00","Susanne John"
"2021/06/30 10:09:19 AM OEZ","Dienstag","2021-11-23","St. Gallen","geschlossene Gesellschaft","-","-","00:00","Susanne John"
"2021/06/30 10:10:02 AM OEZ","Donnerstag","2021-12-09","Basel","geschlossene Gesellschaft","-","-","00:00","Susanne John"
"2021/06/30 10:13:28 AM OEZ","Sonntag","2022-01-30","Kappel am Albus","Kloster Kappel","https://www.google.com/maps/place/Kloster+Kappel/@47.2275523,8.5226245,17z/data=!3m1!4b1!4m5!3m4!1s0x479aa9b92478cc93:0xeb19579cc06a035b!8m2!3d47.2275487!4d8.5248132","Musik und Wort ""I got Rhythm""","17:15","Susanne John"
"2021/06/30 10:15:23 AM OEZ","Sonntag","2022-05-22","Basel","Bethesda Spital","https://www.google.com/maps/place/Bethesda+Spital+AG/@47.5479197,7.6148579,17z/data=!3m2!4b1!5s0x4791b82cf82cd71d:0x11387a99fdc1044!4m5!3m4!1s0x4791b82cf5b92d31:0x4f1c4f06755c4b1e!8m2!3d47.5479161!4d7.6170466","https://www.google.com/maps/place/Bethesda+Spital+AG/@47.5479197,7.6148579,17z/data=!3m2!4b1!5s0x4791b82cf82cd71d:0x11387a99fdc1044!4m5!3m4!1s0x4791b82cf5b92d31:0x4f1c4f06755c4b1e!8m2!3d47.5479161!4d7.6170466","17:00","Susanne John"
"2021/06/30 10:18:28 AM OEZ","Sonntag","2022-11-27","Fischingen","Kloster Fischingen","https://www.google.com/maps/place/Seminarhotel+Kloster+Fischingen/@47.4119036,8.9661413,17z/data=!3m1!4b1!4m8!3m7!1s0x479ac01fc2216333:0xaedd047aa525cf69!5m2!4m1!1i2!8m2!3d47.4119!4d8.96833","I got Rhythm","11:30","Susanne John"
"2021/06/30 2:03:04 PM OEZ","Samstag","2021-12-11","Dinhard","Reformierte Kirche","https://www.google.com/maps/place/Reformierte+Kirche+Dinhard/@47.553942,8.7742854,17z/data=!3m1!4b1!4m5!3m4!1s0x479a9a8e5fd52e6b:0x1ade3a85fe2f693a!8m2!3d47.5539384!4d8.7764741","I got Rhythm","17:00","Susanne John"
